[2022/06/13 11:29:44.039 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/13 11:29:44.046 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/13 11:29:44.047 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7108762482654755923]
[2022/06/13 11:29:44.047 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"operationcount"="10000000"
"verbose"="false"
"requestdistribution"="uniform"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"tikv.type"="raw"
"scanproportion"="0"
"tikv.pd"="10.10.1.4:2379"
"recordcount"="10000000"
"readallfields"="true"
"updateproportion"="0.5"
"workload"="core"
"dotransactions"="false"
"readproportion"="0.5"
"threadcount"="120"
"dropdata"="false"
"debug.pprof"=":6060"
"insertproportion"="0"
**********************************************
INSERT - Takes(s): 519.9, Count: 3691372, OPS: 7100.3, Avg(us): 16828, Min(us): 5238, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 100000
INSERT - Takes(s): 529.9, Count: 3754665, OPS: 7085.8, Avg(us): 16862, Min(us): 5238, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 100000
INSERT - Takes(s): 539.9, Count: 3816751, OPS: 7069.5, Avg(us): 16901, Min(us): 5238, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 100000
INSERT - Takes(s): 549.9, Count: 3876495, OPS: 7049.6, Avg(us): 16949, Min(us): 5238, Max(us): 188143, 99th(us): 37000, 99.9th(us): 60000, 99.99th(us): 108000
INSERT - Takes(s): 559.9, Count: 3941039, OPS: 7039.0, Avg(us): 16975, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 105000
INSERT - Takes(s): 569.9, Count: 4007633, OPS: 7032.3, Avg(us): 16991, Min(us): 5238, Max(us): 188143, 99th(us): 37000, 99.9th(us): 60000, 99.99th(us): 104000
INSERT - Takes(s): 579.9, Count: 4071047, OPS: 7020.4, Avg(us): 17020, Min(us): 5238, Max(us): 188143, 99th(us): 37000, 99.9th(us): 61000, 99.99th(us): 109000
INSERT - Takes(s): 589.9, Count: 4140103, OPS: 7018.5, Avg(us): 17025, Min(us): 5238, Max(us): 188143, 99th(us): 37000, 99.9th(us): 61000, 99.99th(us): 109000
INSERT - Takes(s): 599.9, Count: 4207451, OPS: 7013.7, Avg(us): 17036, Min(us): 5238, Max(us): 188143, 99th(us): 37000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 609.9, Count: 4273789, OPS: 7007.5, Avg(us): 17051, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 619.9, Count: 4337030, OPS: 6996.5, Avg(us): 17078, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 629.9, Count: 4402382, OPS: 6989.2, Avg(us): 17096, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 639.9, Count: 4469849, OPS: 6985.4, Avg(us): 17106, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 108000
