[2022/06/13 13:15:29.374 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/13 13:15:29.381 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/13 13:15:29.381 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7108789600103155778]
[2022/06/13 13:15:29.382 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"operationcount"="10000000"
"tikv.batchsize"="128"
"updateproportion"="0.5"
"recordcount"="10000000"
"workload"="core"
"dotransactions"="false"
"tikv.pd"="10.10.1.4:2379"
"readproportion"="0.5"
"insertproportion"="0"
"verbose"="false"
"tikv.type"="raw"
"dropdata"="false"
"scanproportion"="0"
"tikv.conncount"="128"
"threadcount"="120"
"debug.pprof"=":6060"
"readallfields"="true"
"requestdistribution"="uniform"
**********************************************
INSERT - Takes(s): 709.9, Count: 4776224, OPS: 6727.9, Avg(us): 17762, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 719.9, Count: 4839240, OPS: 6721.9, Avg(us): 17778, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 729.9, Count: 4902242, OPS: 6716.2, Avg(us): 17793, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 739.9, Count: 4966797, OPS: 6712.6, Avg(us): 17802, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 749.9, Count: 5032837, OPS: 6711.2, Avg(us): 17806, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 759.9, Count: 5101314, OPS: 6713.0, Avg(us): 17802, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 769.9, Count: 5160894, OPS: 6703.2, Avg(us): 17828, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 779.9, Count: 5220554, OPS: 6693.7, Avg(us): 17853, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 789.9, Count: 5282399, OPS: 6687.3, Avg(us): 17870, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 799.9, Count: 5345362, OPS: 6682.4, Avg(us): 17883, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 809.9, Count: 5408260, OPS: 6677.5, Avg(us): 17896, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 819.9, Count: 5468410, OPS: 6669.5, Avg(us): 17918, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 829.9, Count: 5538773, OPS: 6673.9, Avg(us): 17906, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 839.9, Count: 5601608, OPS: 6669.2, Avg(us): 17919, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 849.9, Count: 5663001, OPS: 6663.0, Avg(us): 17936, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 859.9, Count: 5722848, OPS: 6655.1, Avg(us): 17957, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 98000
INSERT - Takes(s): 869.9, Count: 5785166, OPS: 6650.2, Avg(us): 17970, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
INSERT - Takes(s): 879.9, Count: 5851246, OPS: 6649.8, Avg(us): 17971, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
INSERT - Takes(s): 889.9, Count: 5914007, OPS: 6645.6, Avg(us): 17983, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
INSERT - Takes(s): 899.9, Count: 5980118, OPS: 6645.2, Avg(us): 17984, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
